id,angle
0,310
1,93
2,159
3,308
4,310
5,358
6,281
7,327
8,49
9,285
10,272
11,206
12,67
13,124
14,288
15,223
16,44
17,75
18,330
19,99
20,323
21,21
22,166
23,165
24,277
25,111
26,265
27,296
28,281
29,100
30,77
31,187
32,116
33,216
34,255
35,323
36,321
37,35
38,39
39,93
40,320
41,277
42,82
43,86
44,39
45,323
46,331
47,82
48,331
49,317
50,352
51,312
52,311
53,217
54,91
55,101
56,141
57,154
58,314
59,300
60,145
61,346
62,125
63,61
64,123
65,130
66,84
67,134
68,254
69,331
70,283
71,168
72,273
73,114
74,108
75,312
76,309
77,213
78,218
79,253
80,45
81,13
82,50
83,126
84,56
85,92
86,343
87,49
88,10
89,129
90,136
91,0
92,265
93,156
94,163
95,247
96,146
97,22
98,22
99,89
100,303
101,0
102,165
103,147
104,35
105,111
106,130
107,209
108,320
109,117
110,157
111,29
112,310
113,248
114,164
115,259
116,242
117,166
118,241
119,91
120,29
121,257
122,201
123,185
124,22
125,119
126,169
127,42
128,176
129,146
130,332
131,135
132,277
133,55
134,218
135,198
136,328
137,240
138,215
139,323
140,242
141,305
142,97
143,357
144,197
145,318
146,153
147,118
148,86
149,60
150,93
151,54
152,139
153,83
154,255
155,129
156,187
157,245
158,223
159,309
160,35
161,190
162,70
163,156
164,317
165,208
166,336
167,344
168,287
169,6
170,253
171,274
172,77
173,226
174,23
175,333
176,152
177,178
178,36
179,183
180,203
181,290
182,311
183,13
184,346
185,30
186,297
187,240
188,274
189,216
190,348
191,199
192,75
193,225
194,145
195,12
196,48
197,162
198,166
199,297
200,345
201,48
202,194
203,87
204,107
205,326
206,238
207,50
208,77
209,69
210,147
211,120
212,11
213,22
214,231
215,274
216,118
217,72
218,166
219,313
220,306
221,318
222,354
223,128
224,299
225,77
226,341
227,193
228,256
229,40
230,217
231,21
232,138
233,348
234,165
235,309
236,45
237,159
238,176
239,190
240,41
241,39
242,16
243,125
244,310
245,129
246,69
247,264
248,211
249,263
250,53
251,153
252,308
253,346
254,134
255,13
256,106
257,222
258,77
259,22
260,34
261,242
262,267
263,260
264,343
265,285
266,91
267,174
268,329
269,12
270,262
271,34
272,193
273,200
274,275
275,109
276,221
277,202
278,55
279,96
280,321
281,207
282,178
283,68
284,204
285,39
286,213
287,4
288,199
289,314
290,343
291,208
292,37
293,253
294,162
295,212
296,116
297,213
298,261
299,211
300,305
301,206
302,312
303,107
304,164
305,97
306,144
307,288
308,277
309,8
310,298
311,238
312,134
313,349
314,323
315,33
316,333
317,128
318,46
319,169
320,151
321,161
322,307
323,135
324,290
325,18
326,229
327,197
328,352
329,82
330,21
331,113
332,31
333,139
334,200
335,96
336,27
337,234
338,36
339,69
340,155
341,168
342,269
343,138
344,181
345,116
346,35
347,136
348,131
349,86
350,55
351,63
352,138
353,38
354,173
355,239
356,223
357,284
358,84
359,49
360,84
361,31
362,11
363,144
364,115
365,112
366,307
367,221
368,90
369,148
370,176
371,198
372,329
373,130
374,297
375,216
376,72
377,340
378,76
379,227
380,6
381,164
382,4
383,5
384,33
385,196
386,46
387,108
388,48
389,3
390,162
391,86
392,351
393,244
394,282
395,215
396,11
397,198
398,157
399,174
400,161
401,82
402,8
403,277
404,268
405,223
406,302
407,343
408,252
409,283
410,247
411,103
412,214
413,259
414,219
415,259
416,165
417,222
418,343
419,219
420,51
421,126
422,217
423,94
424,89
425,61
426,145
427,301
428,140
429,348
430,292
431,136
432,234
433,122
434,256
435,212
436,206
437,188
438,356
439,173
440,15
441,303
442,328
443,350
444,100
445,138
446,136
447,110
448,96
449,326
450,217
451,216
452,196
453,76
454,320
455,98
456,308
457,288
458,353
459,113
460,282
461,37
462,144
463,161
464,182
465,58
466,218
467,198
468,201
469,289
470,333
471,241
472,202
473,203
474,43
475,185
476,353
477,116
478,143
479,315
480,346
481,340
482,304
483,278
484,349
485,201
486,223
487,111
488,189
489,233
490,182
491,309
492,136
493,137
494,168
495,286
496,201
497,204
498,285
499,335
500,90
501,134
502,45
503,17
504,209
