id,Latitude,Longitude
0,219705,144781
1,220154,144310
2,220237,144263
3,219997,141894
4,220370,142440
5,220040,141439
6,219940,144121
7,219872,144163
8,219786,143520
9,220100,142513
10,220274,142247
11,220102,142414
12,219278,141232
13,219062,141017
14,219243,141317
15,219778,144738
16,219875,144476
17,219980,144478
18,220704,143666
19,221149,143033
20,221205,143008
21,220192,144336
22,219523,145142
23,219980,144522
24,218899,144122
25,218622,144364
26,218922,144108
27,221572,142691
28,221019,143349
29,221620,142564
30,219167,145649
31,219368,143793
32,218693,145195
33,220925,143339
34,220838,143447
35,220775,143624
36,220840,143609
37,221121,143094
38,221255,142921
39,218343,144839
40,218990,145332
41,218225,144757
42,220165,142498
43,220264,142318
44,220009,142661
45,219922,144114
46,220042,143699
47,220035,144036
48,220429,142338
49,220761,142692
50,220553,142661
51,218962,143935
52,218990,143931
53,218833,144076
54,220637,142504
55,221067,142793
56,220960,142756
57,219951,141845
58,219907,141563
59,220257,142128
60,219871,144666
61,219232,145463
62,220381,144160
63,220163,143826
64,219927,143641
65,219566,143437
66,219228,141243
67,219120,141086
68,219370,141402
69,220269,143712
70,220069,143565
71,220231,143686
72,220180,142146
73,220139,141776
74,219835,141831
75,218378,144687
76,218445,144658
77,218910,144101
78,218458,144331
79,218436,144891
80,218487,144782
81,218398,144634
82,219425,144074
83,218666,144382
84,218947,145357
85,219000,145472
86,218452,145016
87,218499,143514
88,217883,144329
89,217888,144448
90,220186,143594
91,220343,143571
92,220283,143935
93,220227,142032
94,220079,142007
96,219046,141308
97,219435,141368
98,219956,141898
99,220767,143728
100,221263,143014
101,220790,143688
102,220072,143710
103,219951,144225
104,219843,144534
105,219225,145658
106,218533,145011
107,219186,145394
108,219959,144368
109,219523,144932
110,220099,144207
111,219588,141607
112,220329,142231
113,219894,141765
114,218826,145124
115,218376,144853
116,219310,145598
117,220871,143420
118,220895,143231
119,220435,143853
120,220603,143818
121,220400,143739
122,220300,143704
123,219544,143359
124,220001,143714
125,219839,143513
126,219044,145521
127,219621,145019
128,219305,144839
129,218817,144111
130,218836,144127
131,218548,144552
132,218974,143933
133,218959,143956
134,219223,143664
135,220819,143525
136,221158,143006
137,221027,143229
138,218350,144870
139,218537,145080
140,218897,145338
141,218523,143465
142,218153,143942
143,218374,143643
144,220541,142703
147,219764,144658
148,219637,143288
149,219966,144188
150,220917,143456
151,220961,143283
152,221285,143002
153,219466,141475
154,219541,141538
155,219534,141555
156,221169,142732
157,221510,142692
162,219020,145495
163,218254,144805
164,219110,145609
165,217888,144425
166,218213,143918
167,217867,144337
168,218279,144797
169,218754,144227
170,218671,144340
171,219811,141572
172,219945,141676
173,219855,141344
174,220336,142415
